,links
0,https://shop.rossmann.hu/kategoria/baba
1,https://shop.rossmann.hu/kategoria/haztartas
2,https://shop.rossmann.hu/kategoria/szepsegapolas
3,https://shop.rossmann.hu/kategoria/haj
4,https://shop.rossmann.hu/kategoria/szajapolas
5,https://shop.rossmann.hu/kategoria/parfum
6,https://shop.rossmann.hu/kategoria/elelmiszer
7,https://shop.rossmann.hu/kategoria/dekorkozmetika
8,https://shop.rossmann.hu/kategoria/egeszseg
9,https://shop.rossmann.hu/kategoria/allateledel
10,https://shop.rossmann.hu/kategoria/oltozkodes
11,https://shop.rossmann.hu/kategoria/lakasfelszereles-dekoracio
12,https://shop.rossmann.hu/kategoria/vasarolj-tudatosan
